Model_number	Min_Scale_V	Max_Scale_V	Mean_Scale_V	RMS_Scale_V	Min	Max	Mean	RMS	Min_Scale_tt	Max_Scale_tt	Mean_Scale_tt	RMS_Scale_tt	Min_Scale_tr	Max_Scale_tr	Mean_Scale_tr	RMS_Scale_tr
251	-0.3234519061	0.37526141414	-0.000151504659204	0.049582829729	-84.9061253513	98.5061212118	-0.0397699730411	13.0154928039	-0.349712235981	0.294594118025	-0.000206245909923	0.0476715907478	-0.11294778959	0.229780505698	-3.34209503982e-16	0.0304226278591
204	-0.170725639487	0.307505426047	-0.00195167571349	0.0427912104014	-44.8154803653	80.7201743374	-0.512314874792	11.2326927304	-0.193125970527	0.207439803328	0.000195337970633	0.0409156690197	-0.144545307994	0.246360167607	2.64765022053e-16	0.0357831566098
77	-0.212700749324	0.27899963604	-0.00141516890358	0.0441621573349	-55.8339466975	73.2374044606	-0.371481837191	11.5925663004	-0.253200298365	0.244175636902	0.000810128252298	0.0429689315207	-0.17373466088	0.291547383898	8.58835904369e-15	0.0442088658905
224	-0.372453271691	0.343390579174	-0.0015912246162	0.05140904074	-97.768983819	90.1400270333	-0.417696461754	13.4948731942	-0.449475926409	0.317428734739	-0.000397518713376	0.0489409074924	-0.137214693028	0.191439766129	1.73091283699e-15	0.0300662320592
212	-0.198469781574	0.27911433755	-0.00138332016116	0.044213668849	-52.0983176631	73.2675136068	-0.363121542304	11.6060880729	-0.260590218285	0.242515988382	0.000819669327085	0.0431687922974	-0.176541220922	0.295441540726	-5.05903685629e-15	0.044359863356
302	-0.371924344572	0.653719965225	-0.00160048623214	0.0540985092082	-97.6301404501	171.601490872	-0.420127635937	14.2008586672	-0.357062210335	0.27099992529	-0.00112792309697	0.0480876108143	-0.124434928562	0.213920561051	-1.63398057552e-15	0.0297259194803
243	-0.374098539925	0.215830355522	-0.00204093216275	0.0442624684548	-98.2008667303	56.6554683244	-0.535744692722	11.6188979694	-0.377109989389	0.19041908277	-0.0002300833076	0.0428282916946	-0.175408335764	0.238074291945	-7.27960986072e-16	0.0363407674636
113	-0.203423736882	0.238793643938	-0.00122969607094	0.0422521101423	-53.3987309314	62.6833315338	-0.322795218621	11.0911789124	-0.210909484438	0.280943319143	0.000385238941802	0.0396870447523	-0.155810948496	0.2424563551	1.78007027833e-16	0.0371783413601
50	-0.209657698562	0.931003600688	-0.000762487422143	0.0479914994691	-55.0351458726	244.388445181	-0.200152948312	12.5977686106	-0.257435088147	0.225802200037	-0.00056168302175	0.0429182214249	-0.143176557293	0.250607602938	-3.14902398675e-16	0.0333098027591
107	-0.179673825127	0.94415185955	-0.0012218851493	0.0457356457223	-47.1643790959	247.839863132	-0.320744851692	12.0056070021	-0.213489715439	0.259390674646	0.000350138482096	0.0410122392116	-0.153532666155	0.229502696742	-1.81208678708e-17	0.0378378948867
178	-0.203061082332	0.274036289464	-0.00112664513664	0.0424920202824	-53.3035341121	71.9345259843	-0.295744348368	11.1541553241	-0.210300198575	0.208412636948	0.000267582337632	0.0414857348037	-0.177992183146	0.274211033189	1.1176260984e-15	0.0405105637599
109	-0.229239934962	0.266105483864	-0.00208875706003	0.0453494896099	-60.1754829276	69.8526895142	-0.548298728257	11.9042410226	-0.250932808779	0.214111391951	0.000684898595713	0.0429258153946	-0.145829373691	0.228639706746	2.39358117216e-16	0.03445091311
235	-0.192509531565	0.283971645624	-0.00161435479863	0.0426115343431	-50.5337520358	74.5425569763	-0.423768134639	11.1855277651	-0.217344756793	0.225562354668	0.000224516943669	0.0406399764651	-0.180849933038	0.278083216231	-7.03053967245e-16	0.0405149259139
161	-0.20800740439	0.246733214084	-0.0014735945703	0.0415693637042	-54.6019436523	64.7674686971	-0.386818574703	10.9119579724	-0.201991102876	0.250332644781	-0.000375021896461	0.0403227182898	-0.173695295479	0.244459489032	9.32350886668e-16	0.0372455202779
190	-0.292556219121	0.327855753627	-0.000697386094425	0.0512170664412	-76.7960075192	86.062135327	-0.183063849787	13.4444799408	-0.357280599212	0.307517444457	0.000274018300467	0.0485361100958	-0.117987388207	0.204749900228	3.93255563429e-16	0.0296303218287
182	-0.219983044868	0.296767265193	-0.00159010360615	0.0438829708543	-57.7455492778	77.901407113	-0.417402196614	11.5192798492	-0.213395884845	0.241482856271	0.000164370252107	0.0412970065731	-0.161842855313	0.236964516134	-2.44525192928e-15	0.0349717535757
241	-0.441004385567	0.31347046308	-0.0017639115792	0.0487309912366	-115.763651211	82.2859965584	-0.463026789541	12.7918851996	-0.274474048892	0.212669094304	-0.000566520458626	0.0448758372575	-0.139146496301	0.219037928429	-2.4629304377e-16	0.032288428396
246	-0.217095299696	0.239952069561	-0.00121718734287	0.0464971295705	-56.9875161702	62.9874182597	-0.319511677502	12.2054965122	-0.207908598728	0.23617669993	-0.000578864198484	0.0444656810673	-0.121268037429	0.214349591728	9.25257266141e-16	0.0312837097853
